,Rank,Racer,Text_Bests,Races,Texts,Career,Best_10,Best_Race,Points,Wins,Win_%,Marathon,Last_Race,Variation
45,46.0,v..,161.83,25848,6093,142.88,302.85,336.82,2764631.47,16133,62.41,2001,2021-09-18,16.53
46,47.0,hurst,161.53,14894,1260,152.35,220.95,232.57,343.98,14242,95.62,400,2018-02-28,9.0
47,48.0,sidd_,161.45,19549,4732,148.85,226.33,247.31,2532552.64,14684,75.11,364,2021-08-22,10.96
48,49.0,_son_,161.22,11737,3168,156.34,201.1,205.82,1415264.59,10213,87.02,307,2021-09-21,8.74
49,50.0,brittanergh,161.01,3645,1122,150.29,197.79,206.11,130472.2,3257,89.36,88,2021-04-19,11.94
50,51.0,xayiver,160.85,3946,2605,157.67,205.33,208.9,584983.17,3226,81.75,456,2021-02-26,10.64
51,52.0,lysergico,160.7,6087,2644,155.5,228.68,235.61,778944.36,5117,84.06,301,2021-09-18,8.6
52,53.0,jessegarcia,160.27,165439,4710,129.72,213.64,226.29,11004299.11,112345,67.91,543,2021-01-10,14.23
53,54.0,nothisisjohn,159.93,10982,5355,156.57,229.39,232.52,1453514.24,8282,75.41,218,2021-09-21,11.61
54,55.0,gnikgg,159.42,2578,1198,158.02,261.63,272.41,41154.99,1732,67.18,193,2021-08-22,13.92
55,56.0,nonquit,159.25,7805,3306,150.38,216.12,230.52,649076.56,6181,79.19,287,2021-06-29,12.46
56,57.0,izanagiii,159.18,5831,3111,154.76,257.93,267.5,791764.15,4342,74.46,227,2021-01-26,13.25
57,58.0,lalabird8,158.93,2465,1793,156.18,221.8,237.08,346935.02,1926,78.13,217,2020-09-08,13.17
58,59.0,despot,158.91,52819,7350,146.41,236.07,261.71,6556476.22,36633,69.36,505,2021-09-23,12.86
59,60.0,Discord Bot: tinyurl.com/Ty..,158.85,2217,1427,155.68,207.82,218.82,301975.25,992,44.75,132,2021-09-16,8.85
60,61.0,delirious,158.74,31870,6907,141.23,225.31,233.39,2423575.56,22351,70.13,579,2021-04-28,12.18
61,62.0,schollie,158.7,7640,3082,152.72,197.24,206.11,929892.48,6115,80.04,367,2019-03-26,8.88
62,63.0,_v3_,158.59,2530,1542,157.73,219.73,240.22,338073.54,1997,78.93,124,2021-09-20,9.05
63,64.0,weihceinre,158.28,36999,5972,144.9,217.87,235.41,4654482.73,29270,79.11,512,2021-09-18,11.83
64,65.0,awsomaw,158.0,17719,4125,143.45,226.24,241.41,2052689.39,11595,65.44,179,2021-09-08,12.13
65,66.0,⦗𝐄𝐂𝐎𝐋⦘ ⦓�..,157.8,48314,4323,112.79,560.52,3600.0,3886820.52,32110,66.46,5590,2018-03-07,40.76
66,67.0,sany5505,157.78,23114,4532,145.58,211.95,223.12,3105708.59,18167,78.6,875,2021-05-31,11.69
67,68.0,actuallymo..,157.75,5141,1636,152.57,217.09,288.79,604201.39,11,0.21,362,2020-02-18,9.19
68,69.0,iamslow103,157.75,15433,4761,149.41,242.4,250.78,1909236.23,11553,74.86,665,2021-09-16,14.66
69,70.0,supere..,157.33,5830,1689,141.4,256.22,268.25,50585.38,4218,72.35,250,2020-12-28,22.98
70,71.0,adam1205,157.0,3281,2272,153.37,686.29,4991.15,453199.35,2601,79.27,235,2020-08-16,56.44
71,72.0,disclo5ure,156.72,18395,3901,148.95,220.07,223.48,2185542.2,16021,87.09,328,2021-09-12,10.7
72,73.0,firewolfrain,156.67,5037,2942,148.78,239.51,252.56,379825.88,3621,71.89,145,2021-09-15,16.56
73,74.0,andreaak00,156.67,21276,4834,146.75,225.78,237.5,2207793.47,18134,85.23,387,2021-09-19,12.24
74,75.0,aaronadams,156.66,20537,5453,144.88,259.43,271.28,1556969.76,15212,74.07,416,2021-02-11,10.45
75,76.0,delaw..,156.64,5774,2790,153.11,230.65,238.06,678123.44,4266,73.88,217,2021-05-04,12.68
76,77.0,slowvinni,156.55,23306,5204,151.58,222.36,230.18,2925434.85,17046,73.14,320,2021-09-10,11.2
77,78.0,schizo_guy,156.37,12000,3231,146.31,195.95,205.08,1103355.38,9975,83.13,257,2018-12-10,11.54
78,79.0,codecub,156.01,2547,1382,155.23,342.74,869.03,159701.24,1549,60.82,69,2021-07-18,14.79
79,80.0,sierra05,155.66,9051,2787,151.66,207.35,210.66,1198790.3,6936,76.63,254,2021-09-08,13.39
80,81.0,bblaise,155.42,72756,4919,139.36,211.91,223.91,5501256.5,46319,63.66,680,2021-06-03,14.92
81,82.0,erniechiew,154.84,34603,2364,132.34,321.64,335.32,268049.78,26088,75.39,552,2018-12-20,13.74
82,83.0,residober,154.37,20062,4291,144.58,196.5,200.36,2277619.5,15308,76.3,115,2021-09-20,11.49
