,Rank,Racer,Text_Bests,Races,Texts,Career,Best_10,Best_Race,Points,Wins,Win_%,Marathon,Last_Race,Variation
794,795.0,thebagginsfa..,116.68,1998,1345,109.43,156.29,169.57,143948.82,1161,58.11,88,2021-02-16,18.9
795,796.0,charter,116.65,3248,2027,114.5,152.84,156.46,331210.01,1633,50.28,151,2021-09-10,10.3
796,797.0,teodorrd27,116.64,3650,2244,115.05,144.61,149.14,375689.41,1994,54.63,94,2021-09-19,9.77
797,798.0,puttio,116.64,3668,1164,111.66,153.36,159.34,81454.85,2118,57.74,125,2021-08-18,14.22
798,799.0,maznflip,116.61,1583,1303,115.46,161.45,175.22,160260.99,892,56.35,89,2021-08-16,12.95
799,800.0,moisturemob,116.53,4533,2483,114.17,141.92,147.66,362090.74,2352,51.89,172,2021-02-24,8.31
800,801.0,alyssarae995,116.52,2634,1124,111.14,144.88,147.48,2076.77,1435,54.48,272,2018-12-27,11.58
801,802.0,gatewaydrug,116.47,4862,1470,114.51,140.55,149.33,165742.0,3115,64.07,70,2021-09-21,8.49
802,803.0,meeeep,116.47,2352,1741,114.92,147.53,156.83,224694.38,1300,55.27,90,2021-08-09,10.47
803,804.0,shmucky,116.46,2259,1539,115.23,146.52,160.72,232672.61,1118,49.49,64,2021-09-13,8.34
804,805.0,moarkenji,116.45,4351,1391,112.93,145.32,151.64,108449.5,2506,57.6,120,2020-02-03,9.4
805,806.0,iwanna_typefast,116.44,10581,2768,105.39,168.58,175.64,963195.57,4590,43.38,223,2021-09-22,15.77
806,807.0,_navdee..,116.43,2209,1634,115.53,151.89,159.1,205453.49,1248,56.5,113,2020-07-30,10.37
807,808.0,sabelle_,116.35,2950,1830,114.61,157.33,173.42,290853.86,1554,52.68,129,2021-09-02,12.45
808,809.0,_8(|,116.34,17153,3653,106.91,172.04,179.5,1005068.55,7898,46.04,256,2021-09-18,11.58
809,810.0,wiscahhhhnsin,116.31,4707,2835,114.38,147.44,156.66,507877.04,2506,53.24,198,2021-03-21,7.58
810,811.0,znake,116.3,5469,2518,112.9,150.32,157.3,520672.53,2504,45.79,157,2021-09-20,9.99
811,812.0,jlun23,116.25,4661,2588,111.43,157.62,163.92,461546.65,2217,47.56,237,2021-09-13,15.17
812,813.0,bizatch,116.24,19146,3356,110.88,145.93,148.46,831799.24,11834,61.81,300,2020-08-12,8.26
813,814.0,suisosan,116.19,4912,1291,110.54,144.11,145.62,72607.61,2460,50.08,99,2021-01-09,10.32
814,815.0,pumpkinsoup1,116.18,11067,3971,110.74,166.49,174.64,1095942.52,4962,44.84,247,2021-09-22,11.87
815,816.0,cliev,116.13,1910,1360,114.92,151.09,168.44,186623.08,1002,52.46,61,2021-09-05,10.78
816,817.0,rogeratbao,116.11,9238,1728,105.56,153.74,164.02,172744.86,4717,51.06,190,2021-04-05,13.71
817,818.0,bibux,116.11,20890,1822,108.22,157.48,165.02,682837.5,9898,47.38,184,2021-08-29,12.69
818,819.0,morticia94,116.1,2559,1944,114.19,154.25,157.1,275385.45,1425,55.69,134,2021-06-17,12.11
819,820.0,ando8,116.1,2797,1724,115.33,152.16,156.67,202955.62,1837,65.68,246,2019-02-21,11.64
820,821.0,fasthuh,116.08,2545,1690,114.6,144.35,149.3,150061.73,1403,55.13,183,2021-08-19,8.79
821,822.0,xyeet,116.08,5106,2954,113.57,147.72,153.55,526841.17,2549,49.92,155,2021-09-03,8.48
822,823.0,wyzzard123,116.08,4026,1002,100.03,143.87,151.67,54012.48,1929,47.91,150,2021-06-14,18.69
823,824.0,cloudywithachanceof..,116.06,1817,1317,114.36,151.62,163.17,180647.03,879,48.38,239,2021-09-20,9.99
824,825.0,mylessucks,116.02,4048,1824,113.94,146.5,152.12,270866.21,1900,46.94,99,2021-09-12,9.19
825,826.0,lakiot,116.01,2901,2168,114.74,145.54,151.08,308910.76,1535,52.91,230,2021-09-05,9.75
826,827.0,zambrix,116.01,2310,1551,114.95,161.02,175.61,193630.62,1104,47.79,176,2021-09-19,12.91
827,828.0,nicepal,116.01,5768,2433,111.66,165.14,183.91,557838.11,2811,48.73,127,2021-09-19,16.76
828,829.0,christhomas95,116.0,25999,1461,88.04,156.53,162.6,18580.11,10625,40.87,288,2020-05-27,21.88
829,830.0,actuallysoup,115.96,5303,2585,112.92,165.28,176.08,506725.79,2454,46.28,297,2021-09-19,13.21
830,831.0,oily,115.94,2863,1885,114.32,150.4,155.17,285377.82,1566,54.7,129,2021-01-29,8.86
831,832.0,comeonn1,115.93,15846,3089,102.28,154.53,160.12,438685.05,7574,47.8,307,2021-09-17,14.88
832,833.0,pjayys,115.92,55583,3754,100.81,151.29,161.03,4858460.97,23655,42.56,490,2018-11-26,11.72
833,834.0,altus,115.9,3391,1006,109.72,142.77,146.56,94210.54,1325,39.07,91,2020-03-26,8.7
834,835.0,lovelyscream,115.89,8080,1564,107.08,148.85,156.52,146666.16,4477,55.41,182,2021-08-31,12.64
835,836.0,goldberry,115.88,3800,1902,114.27,146.65,150.34,353472.27,1910,50.26,199,2018-11-15,9.87
836,837.0,nielsjensen,115.86,45326,4456,95.79,159.81,165.98,1372090.33,18758,41.38,285,2021-09-06,16.11
837,838.0,huaweialeksa,115.82,14363,2227,108.52,161.95,174.44,209647.08,7806,54.35,345,2021-08-03,11.39
838,839.0,sestevens,115.8,11207,1526,107.67,148.85,154.63,113541.43,6156,54.93,122,2021-05-25,10.49
839,840.0,garyboo,115.74,7485,2544,110.29,156.66,168.36,322727.8,3692,49.33,258,2021-01-30,11.18
840,841.0,razertypist,115.73,17846,5279,109.35,233.3,245.18,1627591.53,4715,26.42,497,2021-09-11,20.45
841,842.0,irondragonian,115.73,3389,1847,112.95,143.65,149.18,323013.96,1988,58.66,234,2021-09-06,8.29
842,843.0,dtrix,115.67,2959,1523,112.77,159.64,168.77,200278.45,1623,54.85,76,2021-05-09,13.52
843,844.0,lentan,115.66,1796,1172,112.77,151.39,157.55,90107.59,1027,57.18,161,2021-09-03,11.16
844,845.0,carpalxqgmlwy,115.66,47200,5408,100.19,174.97,198.17,4408876.07,19818,41.99,445,2021-05-03,18.79
845,846.0,scint,115.65,3055,2171,113.77,150.17,156.39,313789.17,1669,54.63,309,2021-05-15,10.27
846,847.0,kemomimishippo,115.62,4748,2902,113.18,154.02,165.09,496514.16,2462,51.85,106,2021-09-12,10.27
847,848.0,pengui..,115.62,1622,1244,117.84,172.38,183.3,137605.71,522,32.18,78,2021-07-21,17.62
848,849.0,na2a_,115.59,1959,1324,114.66,139.99,143.71,176189.15,1011,51.61,62,2021-06-12,7.15
849,850.0,eric__574,115.58,2483,1586,112.16,171.96,187.19,222403.66,1146,46.15,87,2020-09-05,19.52
850,851.0,sanmboiboi,115.57,2598,1209,113.05,154.1,168.86,105026.8,1271,48.92,73,2021-04-17,8.21
851,852.0,mackipecko,115.49,9539,3541,107.23,161.49,169.14,867904.26,4579,48.0,167,2021-09-11,19.76
852,853.0,humptyhump,115.49,1661,1238,112.88,161.03,166.09,163620.02,781,47.02,338,2021-04-06,15.19
853,854.0,bloab,115.44,9848,3960,111.99,155.67,167.17,1019384.32,5167,52.47,202,2021-09-10,10.23
854,855.0,looneyjuice,115.4,3220,2227,113.61,146.12,153.98,311751.3,1702,52.86,145,2021-09-07,10.13
855,856.0,davx_d,115.39,1916,1568,114.2,148.41,153.06,209687.73,1012,52.82,253,2020-11-22,10.31
856,857.0,edonn,115.38,10018,3401,109.89,152.91,160.77,674550.8,5186,51.77,126,2021-09-21,10.87
857,858.0,haleyk10198,115.36,5206,1876,110.0,146.47,156.57,168363.24,2855,54.84,182,2021-01-29,9.73
858,859.0,gavwhela,115.33,10233,4129,110.26,147.71,151.26,1023691.63,5052,49.37,354,2021-09-21,10.07
859,860.0,ajgriffy,115.32,2647,1804,112.99,151.83,160.35,242796.65,1386,52.36,71,2020-06-10,10.67
860,861.0,willmtx,115.29,13029,2283,110.72,154.43,159.61,263859.85,7183,55.13,215,2021-09-10,11.86
861,862.0,,115.27,1540,1067,112.21,177.96,184.2,129767.54,708,45.97,52,2021-09-22,21.57
862,863.0,pabst,115.25,6774,2524,108.85,162.4,184.62,177751.64,3232,47.71,203,2021-01-23,13.07
863,864.0,shabooty,115.23,10332,2937,105.46,156.13,159.49,518804.51,4817,46.62,164,2021-09-17,14.4
864,865.0,coolfission,115.22,1710,1400,114.76,138.82,141.51,180337.26,925,54.09,23,2021-09-19,7.75
865,866.0,euij,115.2,1597,1274,113.9,216.55,227.51,149533.81,799,50.03,114,2019-03-02,24.93
866,867.0,modernsupport,115.19,1719,1437,113.82,158.46,166.6,176844.9,965,56.14,207,2021-07-13,13.67
867,868.0,ronnie1155,115.18,3519,2098,112.46,154.22,161.45,248251.01,1921,54.59,158,2021-01-03,11.09
868,869.0,djkeemtart,115.18,3672,1797,111.99,150.51,155.62,311404.27,1763,48.01,269,2021-05-31,10.84
869,870.0,riker26,115.16,2038,1518,111.94,158.9,164.77,155795.57,1054,51.72,113,2021-06-18,17.71
870,871.0,amrie,115.14,2906,1138,107.94,151.32,154.99,35465.25,1567,53.92,126,2020-05-29,15.71
871,872.0,srinivas..,115.14,9315,3585,106.93,170.47,191.12,786751.01,4666,50.09,145,2021-09-13,19.42
872,873.0,artilox,115.14,2862,1720,114.0,152.05,167.05,273110.99,1177,41.13,94,2021-08-13,9.94
873,874.0,alyciahtolli..,115.12,6262,2534,109.08,146.82,152.35,611547.93,3160,50.46,325,2018-05-24,12.17
874,875.0,power_punch,115.11,24649,5546,106.65,191.94,198.77,2190715.48,11056,44.85,318,2021-09-22,19.11
875,876.0,hayso,115.11,4744,1467,108.1,143.56,147.49,84829.95,2485,52.38,94,2021-09-20,10.88
876,877.0,bull3tf,115.08,12696,4287,106.25,151.79,154.71,1243020.58,6315,49.74,232,2021-09-11,13.62
877,878.0,all_greay,115.07,5778,2892,111.53,154.33,161.89,587374.46,2985,51.66,283,2021-01-09,10.38
878,879.0,lambdanaut,115.07,12212,3396,113.41,152.51,159.39,571299.47,6518,53.37,320,2021-09-11,10.5
879,880.0,blueark88,115.06,2373,1046,111.13,147.63,154.3,0.0,1223,51.54,431,2017-03-13,11.65
880,881.0,jprk,115.05,1554,1318,114.1,156.24,176.09,158953.79,800,51.48,115,2021-08-21,10.63
881,882.0,silentgis..,115.01,5428,2797,112.8,156.41,166.62,417180.1,2840,52.32,134,2021-09-11,10.43
882,883.0,,115.0,3577,1853,112.69,143.12,148.27,308170.53,1775,49.62,218,2019-08-08,9.44
883,884.0,karovin,114.99,7562,3239,109.68,161.78,172.76,757674.49,3797,50.21,474,2020-04-19,12.74
884,885.0,johndue21,114.98,6759,2792,110.36,150.78,159.92,461297.91,3424,50.66,173,2018-12-21,11.44
885,886.0,danieldrd,114.96,1513,1258,114.27,144.99,150.99,152862.69,799,52.81,102,2021-05-04,9.39
886,887.0,stropheum,114.92,3600,1787,109.55,150.27,157.12,232360.33,1723,47.86,200,2021-06-10,12.33
887,888.0,super_not_pro,114.92,1995,1607,113.51,159.01,162.25,206460.87,1089,54.59,61,2021-09-20,15.79
888,889.0,slowtypist199,114.89,2160,1367,111.53,149.55,160.12,200635.84,967,44.77,132,2021-09-22,16.19
889,890.0,thefitfatass,114.88,34804,4527,109.05,147.73,154.13,3353663.63,20519,58.96,156,2021-09-19,9.99
890,891.0,fish753,114.82,7630,2556,104.91,155.82,174.57,311361.65,3350,43.91,302,2018-11-16,13.64
891,892.0,ﾉ◕ヮ◕,114.79,13055,4386,106.86,163.57,170.55,1276282.98,5973,45.75,287,2021-07-24,13.81
892,893.0,samuraipie,114.77,1749,1470,113.59,163.83,184.91,183572.81,840,48.03,81,2021-06-11,14.82
893,894.0,tesseractbeyond,114.75,6099,3152,112.02,205.24,218.94,639467.08,3128,51.29,509,2021-08-12,15.4
894,895.0,adyingwalrus,114.75,7584,2703,109.89,152.52,156.06,710051.02,3287,43.34,304,2021-09-09,11.27
895,896.0,მე ვარ ნიკ�..,114.74,1925,1275,113.49,156.46,161.19,162523.52,940,48.83,66,2021-09-17,13.6
896,897.0,theunknownhero,114.7,8489,3620,110.23,162.68,167.23,791989.89,4486,52.84,412,2021-09-19,12.84
897,898.0,kelvinjay,114.69,22085,1773,99.13,149.22,155.91,73442.89,10075,45.62,244,2021-01-02,17.29
898,899.0,sliced2k12345,114.65,1647,1227,114.01,143.79,148.82,156419.51,1204,73.1,159,2018-06-26,10.22
899,900.0,..,114.64,3905,2491,112.46,151.03,155.01,390816.72,2026,51.88,186,2020-10-30,10.17
900,901.0,vegetto1126,114.64,3199,1361,110.37,144.58,147.95,84024.1,1969,61.55,69,2021-09-07,10.26
901,902.0,udontran,114.63,2303,1689,112.91,147.6,156.81,178629.92,1139,49.46,70,2021-01-25,10.55
902,903.0,feedmedope,114.62,10159,3951,109.53,147.41,154.72,1035253.57,4724,46.5,282,2021-09-23,9.48
903,904.0,charlesduran27,114.61,13061,2633,108.87,144.15,153.23,1148163.67,6052,46.34,271,2021-09-19,7.72
904,905.0,ryanssd,114.52,29930,4880,104.17,146.7,151.01,2922415.92,13013,43.48,722,2021-06-10,10.66
905,906.0,misterhotel,114.51,10249,3405,105.31,152.71,170.46,634164.93,4556,44.45,154,2021-09-14,14.01
906,907.0,superbarnie,114.45,7505,2247,104.41,146.59,149.48,255435.92,3634,48.42,151,2021-08-01,14.57
907,908.0,streetfighterlan123,114.45,1864,1432,116.52,198.99,204.56,163876.47,724,38.84,55,2021-09-13,21.39
908,909.0,vilius8,114.42,30464,4995,101.0,154.45,158.73,2819538.52,13272,43.57,167,2021-09-16,16.02
909,910.0,samtsullivan,114.38,2429,1124,110.92,143.41,146.18,53062.25,1350,55.58,180,2021-09-11,10.84
910,911.0,missamig,114.36,13284,4050,106.44,159.74,167.69,1281849.35,6606,49.73,280,2021-09-17,12.95
911,912.0,cooldude_,114.31,1524,1248,112.24,162.5,167.45,116349.54,808,53.02,83,2021-08-24,18.25
912,913.0,chiphan1993,114.29,3630,1916,112.82,153.85,163.59,358156.76,1945,53.58,41,2021-09-22,8.07
913,914.0,tomcolemak,114.27,22994,4827,101.0,169.68,182.5,1988934.21,10734,46.68,956,2020-12-16,17.58
914,915.0,blackpitt,114.26,1799,1381,113.59,143.93,149.54,164029.12,958,53.25,107,2019-08-17,10.03
915,916.0,soword,114.24,2529,1967,112.84,177.15,194.13,252011.23,1171,46.3,205,2021-09-15,16.27
916,917.0,wizard24h,114.21,10192,1763,91.5,155.17,190.52,143163.43,4246,41.66,129,2021-04-13,20.56
917,918.0,tarankloty,114.17,2714,1959,112.81,148.96,162.49,271177.5,1307,48.16,62,2021-06-06,10.34
918,919.0,enxyon,114.17,2185,1555,113.09,137.63,145.52,218054.49,1091,49.93,195,2021-09-21,9.26
919,920.0,taro311,114.16,2323,1244,112.87,142.45,155.39,188599.04,1020,43.91,55,2021-08-11,6.97
920,921.0,kkcwkoh,114.15,3135,1900,110.9,152.81,155.81,308886.5,1566,49.95,184,2021-09-08,11.86
921,922.0,clearlynotkevin,114.15,20245,4440,105.85,162.41,170.0,1964025.02,8847,43.7,202,2021-09-09,12.12
922,923.0,olrepth,114.14,2811,1017,108.45,144.98,154.86,49436.26,1162,41.34,91,2021-02-05,11.97
923,924.0,casey_anthony,114.1,3859,1163,108.26,152.83,163.52,20857.89,1945,50.4,135,2020-01-31,12.69
924,925.0,diamond99007,114.1,2372,1133,108.25,143.41,148.47,86079.3,1326,55.9,218,2021-01-28,12.42
925,926.0,bobbatron808,114.1,6807,2936,109.33,164.69,174.54,662995.04,3317,48.73,250,2018-07-27,12.08
926,927.0,tedster,114.07,4349,1205,96.51,174.79,186.63,45874.64,2175,50.01,94,2020-12-16,35.7
927,928.0,fmurtadho,114.05,6796,2717,111.55,158.57,165.9,582896.43,2872,42.26,194,2021-09-19,10.1
928,929.0,chopst1cksss,114.04,10676,2611,106.81,144.72,149.5,995508.8,4771,44.69,272,2021-09-19,9.24
929,930.0,inorbit,114.02,2536,1742,112.18,149.98,163.75,215177.65,1324,52.21,134,2021-03-03,10.37
930,931.0,darkis99,114.02,2876,1691,111.85,157.74,167.09,266022.25,1365,47.46,168,2021-09-15,10.9
931,932.0,noogie13,113.98,4888,2094,111.05,171.06,176.03,406665.37,1194,24.43,129,2021-09-10,12.39
932,933.0,pacificmonk,113.98,7153,1655,105.35,138.89,150.04,99082.24,3822,53.43,282,2020-07-11,10.18
933,934.0,typist8,113.97,9999,3339,107.52,165.96,182.54,835778.04,4405,44.05,173,2020-02-05,14.12
934,935.0,dreamofs..,113.96,59350,1648,98.06,160.5,187.62,77130.2,27122,45.7,278,2021-08-08,13.97
935,936.0,cononcus,113.95,3567,2257,111.7,159.46,168.75,342315.76,1987,55.71,162,2020-04-04,12.04
936,937.0,peanutpocket,113.95,2508,1799,112.65,144.27,152.01,256372.62,1289,51.4,327,2021-04-25,8.69
937,938.0,aqibm,113.93,6103,2773,108.2,153.81,157.75,582980.89,3225,52.84,146,2018-11-21,13.83
938,939.0,johnbonham,113.89,43114,3005,104.19,189.36,191.46,438779.9,16464,38.19,566,2021-06-23,13.13
939,940.0,gokewho,113.87,3306,2227,111.65,166.17,173.48,331430.02,1827,55.26,292,2021-09-15,16.76
940,941.0,poops_magee,113.86,17526,4677,106.82,149.25,152.24,1752619.89,8911,50.84,204,2021-09-15,11.76
941,942.0,st6er,113.85,7801,1876,105.22,148.42,156.77,115956.93,3645,46.72,195,2021-08-28,12.63
942,943.0,arijan_dh,113.78,1916,1388,110.96,162.4,170.62,185526.95,992,51.77,288,2021-09-14,15.79
943,944.0,Salman Chishti,113.77,5496,2780,113.76,177.4,180.51,476179.83,2640,48.03,627,2021-09-22,16.53
944,945.0,dardoti..,113.75,12999,1311,105.07,141.15,147.22,48794.63,6700,51.54,338,2021-06-12,9.92
945,946.0,nikhila,113.75,33845,4650,101.71,143.4,152.03,1822881.61,14734,43.53,296,2021-07-20,11.78
946,947.0,pajberman,113.74,1845,1487,112.85,147.9,153.88,190603.91,1053,57.07,136,2021-09-22,12.35
947,948.0,grace6446,113.73,7356,2452,107.08,144.11,154.18,267034.67,3636,49.43,199,2021-04-28,11.73
948,949.0,funnelcake9,113.69,4445,2564,111.41,140.2,143.95,419622.67,2205,49.61,83,2021-09-22,11.88
949,950.0,noprop,113.68,25619,4714,107.67,180.54,188.35,2032159.49,13512,52.74,985,2021-09-13,14.23
950,951.0,cdav114,113.66,2004,1393,111.78,141.19,151.97,197481.32,966,48.2,253,2021-06-08,9.56
951,952.0,urmaul,113.65,36862,2625,96.3,151.86,160.51,294837.33,16047,43.53,395,2020-11-25,15.52
952,953.0,umang1998,113.64,6161,2558,108.91,147.63,154.11,534038.98,2992,48.56,212,2021-09-01,10.69
953,954.0,fastermart,113.58,22621,1853,106.87,171.02,177.9,296635.33,13090,57.87,1000,2021-06-10,11.58
954,955.0,flip2theleft,113.57,53719,5482,94.55,168.76,181.06,4618676.61,21882,40.73,592,2021-09-18,19.91
955,956.0,onah,113.54,14832,4260,108.46,158.31,175.86,1437705.19,6660,44.9,343,2021-09-06,10.62
956,957.0,baconhawka7x,113.51,2576,1852,111.28,146.58,152.47,227043.22,1315,51.05,136,2020-12-14,10.52
957,958.0,pavlova_condition..,113.5,2128,1662,112.0,156.77,161.37,216655.06,1127,52.96,141,2020-12-06,12.22
958,959.0,demonixrob,113.49,5945,2841,110.48,148.38,154.91,578104.04,2864,48.17,132,2021-09-01,10.21
959,960.0,ro_catperson,113.46,1662,1377,112.66,144.95,155.47,182578.24,907,54.57,211,2021-01-31,9.23
960,961.0,iconoclasm84,113.46,31948,1265,103.28,142.41,145.85,13254.18,16255,50.88,314,2021-03-01,10.05
961,962.0,kxkixi,113.44,7018,3638,111.23,148.33,152.08,585819.55,3990,56.85,1087,2021-09-13,10.5
962,963.0,windycruse,113.43,3313,1725,108.55,150.48,153.75,110276.29,1713,51.71,144,2020-04-08,13.02
963,964.0,tearsinrain,113.42,9096,2720,106.67,152.15,163.98,867762.23,4377,48.12,255,2021-09-17,10.5
964,965.0,typeracerpl..,113.4,2400,1392,103.72,161.42,167.55,128099.88,1229,51.21,263,2019-03-18,21.66
965,966.0,yash117,113.37,5824,3226,110.55,148.69,153.16,612905.79,2568,44.09,243,2021-09-13,9.98
966,967.0,tomfoolery42,113.34,6666,3388,109.3,155.04,165.53,664686.82,3286,49.29,137,2020-09-18,11.3
967,968.0,shingoshoji,113.33,4259,2656,111.79,148.97,157.19,431998.48,2272,53.35,75,2021-09-18,11.01
968,969.0,cqyimo42,113.31,5234,2198,110.63,154.6,164.6,473689.93,2115,40.41,122,2021-08-28,11.16
969,970.0,navidr,113.29,2255,1768,111.74,150.98,159.58,231085.84,1202,53.3,105,2021-07-18,12.38
970,971.0,magsi,113.28,4312,1652,99.21,148.56,151.66,164844.58,1774,41.14,118,2021-09-05,20.08
971,972.0,codeadept,113.28,1690,1383,112.33,143.88,150.68,173415.9,904,53.49,71,2021-08-08,9.53
972,973.0,udon,113.27,8464,1919,106.85,154.46,175.97,209144.86,4547,53.72,153,2020-11-19,12.46
973,974.0,tozu2,113.27,1633,1192,111.56,147.54,151.09,162847.06,819,50.15,294,2021-07-10,10.32
974,975.0,ozcelllist,113.26,2192,1712,112.0,149.59,155.89,228230.6,1253,57.16,142,2021-09-09,10.96
975,976.0,lightandsound,113.24,1824,1276,112.19,135.06,137.06,112051.07,858,47.04,105,2021-02-17,6.86
976,977.0,पलविंदर स�..,113.23,9358,2712,109.87,144.33,151.74,338336.79,5482,58.58,189,2021-07-22,8.49
977,978.0,professor_l,113.21,2031,1375,111.71,148.74,165.66,158656.87,981,48.3,61,2020-03-04,9.39
978,979.0,kevinu,113.19,18139,4388,102.26,159.74,169.49,1558263.74,7867,43.37,214,2021-09-14,15.6
979,980.0,blade8227,113.19,1652,1311,110.72,153.63,161.43,133401.35,904,54.72,58,2021-05-09,13.32
980,981.0,hbhargava,113.17,2246,1748,112.12,147.39,150.31,216321.7,1154,51.38,57,2021-09-20,10.83
981,982.0,mcentag,113.17,8722,3643,108.77,149.64,154.8,890165.86,4150,47.58,110,2021-09-14,9.72
982,983.0,qwertrewq,113.17,19372,1136,107.11,140.17,143.89,47979.48,10539,54.4,220,2019-12-01,9.34
983,984.0,joenasha10,113.16,28078,3931,102.0,151.18,160.82,844394.13,13474,47.99,174,2021-09-20,10.87
984,985.0,haxmatix,113.14,9683,1572,108.23,150.23,154.07,137127.32,5319,54.93,802,2020-11-19,12.38
985,986.0,turtlespeedpls,113.1,2360,1681,110.46,158.93,163.83,236604.11,1284,54.41,237,2021-03-19,15.53
986,987.0,analternateaccount,113.08,3850,2087,109.41,155.39,167.78,374055.44,1936,50.29,298,2017-12-07,11.84
987,988.0,transporter,113.02,5582,2780,108.3,152.54,159.31,475636.64,2890,51.77,266,2021-02-11,12.54
988,989.0,jazonandes,113.02,1826,1455,112.18,148.7,155.17,183012.85,835,45.73,58,2021-09-12,10.68
989,990.0,goldrik,113.0,2745,1811,111.94,140.57,146.29,273869.23,1424,51.88,112,2021-08-30,7.18
990,991.0,swallowtail,113.0,2628,1924,112.06,168.1,175.32,214301.17,1768,67.28,190,2020-11-30,15.18
991,992.0,usmanmajeed12,112.99,14897,5246,106.97,163.9,178.57,1056932.52,9093,61.04,353,2021-06-29,13.82
992,993.0,thesabe,112.97,3074,1956,108.35,150.73,174.31,223058.87,1487,48.37,317,2021-09-01,14.03
993,994.0,inphinity,112.91,4545,2763,109.52,151.41,159.26,437726.02,2216,48.76,212,2021-09-20,13.21
994,995.0,summertimesadn..,112.91,5898,2256,104.71,153.54,161.94,272721.05,2953,50.07,173,2021-08-26,14.77
995,996.0,zdry,112.91,3973,2196,110.57,149.18,164.41,368122.07,1752,44.1,91,2020-04-28,8.94
996,997.0,lsdb9742,112.9,7337,3474,107.23,163.29,171.65,717891.24,3255,44.36,250,2021-08-15,15.05
997,998.0,jungyeon,112.86,1592,1199,111.28,163.78,175.7,155743.7,818,51.38,218,2020-11-16,13.13
998,999.0,tehtehteh,112.86,2935,2101,111.28,148.06,157.58,286102.75,1491,50.8,86,2021-08-20,12.83
999,1000.0,alberttheslime,112.84,2339,1602,111.45,149.69,156.56,229997.73,1157,49.47,124,2021-09-12,12.15
1000,1001.0,小雪） (renissia,112.8,2320,1256,109.68,137.7,141.75,84790.14,1148,49.48,67,2021-07-23,9.61
1001,1002.0,tuan_nguyen,112.79,1980,1480,111.96,137.4,140.69,184670.21,987,49.85,45,2021-09-11,7.58
1002,1003.0,nunyobusiness,112.77,2895,1118,97.61,153.07,161.26,65959.23,1280,44.21,72,2021-01-19,24.4
1003,1004.0,oddishjing,112.76,2663,1465,108.9,147.56,156.1,85177.05,1333,50.06,231,2021-09-18,12.87
1004,1005.0,sunnylee0123,112.73,3937,1947,105.3,154.4,161.19,188835.1,1967,49.96,74,2021-09-04,16.59
1005,1006.0,calculusnut,112.72,5306,1515,107.56,143.58,151.59,34835.02,2308,43.5,175,2017-09-20,8.89
1006,1007.0,ziel,112.72,16958,1856,97.42,162.68,178.12,126658.88,7903,46.6,293,2021-05-16,24.26
1007,1008.0,xted,112.71,10508,3905,107.98,151.81,162.74,991272.06,5054,48.1,212,2021-09-09,11.33
1008,1009.0,ndonaldson,112.71,9174,3688,106.44,149.71,159.08,831684.06,4747,51.74,318,2019-10-23,12.73
1009,1010.0,kerby_berby,112.71,11675,3099,110.01,171.24,178.09,1102324.2,5350,45.82,275,2021-09-23,14.49
1010,1011.0,timeload,112.7,2669,1899,110.76,144.7,149.27,269059.5,1389,52.04,346,2021-06-24,10.78
1011,1012.0,iconoclasmic,112.69,10321,2661,108.29,148.46,160.72,478289.25,5012,48.56,294,2018-11-11,9.23
1012,1013.0,hulahoopfastt..,112.67,1723,1384,111.5,158.11,177.62,170836.22,837,48.58,139,2021-06-02,12.45
1013,1014.0,office123,112.67,10093,2089,108.34,148.62,153.01,297912.98,4226,41.87,218,2021-09-12,10.0
1014,1015.0,chusen99,112.67,1548,1233,111.68,143.55,149.24,147935.05,789,50.97,58,2021-09-02,10.0
1015,1016.0,maxxdw,112.64,1671,1393,111.72,147.74,156.39,172020.61,961,57.51,161,2021-02-03,9.7
1016,1017.0,loomi,112.59,8898,2992,107.92,162.2,169.16,633593.96,3587,40.31,211,2021-09-10,17.94
1017,1018.0,alino,112.58,1792,1315,111.69,155.35,166.42,171029.81,918,51.23,323,2018-03-13,12.91
1018,1019.0,ryli,112.58,1643,1286,111.84,141.69,153.96,147103.22,899,54.72,91,2021-04-18,8.85
1019,1020.0,jack90001,112.57,9399,1947,103.88,142.33,150.67,200982.4,4429,47.12,188,2021-07-31,9.71
1020,1021.0,josasim,112.55,6859,3790,107.32,187.47,196.62,621874.31,2139,31.19,132,2021-08-03,19.96
1021,1022.0,drgsus,112.55,25752,3910,103.17,152.31,157.36,1713556.75,10804,41.95,380,2021-09-20,15.23
1022,1023.0,twinsgroup,112.55,4098,1397,99.65,144.59,150.95,121304.27,2055,50.15,135,2020-07-07,15.52
1023,1024.0,bb__,112.54,35320,4733,100.75,155.14,170.64,1803096.74,16104,45.59,214,2021-09-19,13.67
1024,1025.0,rstefanic,112.53,5565,3173,110.85,148.85,160.07,579689.41,2651,47.64,106,2021-08-27,9.13
1025,1026.0,ek81,112.47,12360,1081,103.92,145.3,158.86,42359.75,6912,55.92,278,2021-03-11,10.4
1026,1027.0,zobad,112.47,1519,1101,110.53,145.73,151.64,136322.47,746,49.11,124,2021-08-23,12.14
1027,1028.0,ammarthetyper,112.47,1895,1299,110.98,138.48,141.72,176397.75,931,49.13,142,2021-09-17,8.63
1028,1029.0,poleda..,112.4,7878,1735,103.45,149.09,151.65,164573.46,3858,48.97,232,2021-08-27,13.1
