Company/Brand,Founded,Headquarters,Sector,What it does,Founder/s,Investor/s,Amount(in dollars),Stage,Month
Oliveboard,2012,Bangalore,EdTech,Oliveboard is the top exam preparation platform for Banking & Government Exams.,"Abhishek Patil, V Satish Kumar",IAN Fund,3000000,,7
Little Leap,2020,New Delhi,EdTech,Soft Skills that make Smart Leaders,Holistic Development Programs for children in age range 5-15,Vishal Gupta,ah! Ventures,300000,7
Trell,2016,Bangalore,Social commerce,India's Largest Lifestyle Social Commerce platform. Empowering millions of storytellers & Micro-Entrepreneurs.,"Pulkit Agarwal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba","Mirae Asset, H&M",45000000,Series B,7
Kredent,2008,Kolkata,EdTech,Kredent Academy is the unique concept where financial market professionals have taken the onus of creating a strong knowledge bank in their area of expertise,"Vineet Patawari, Vivek Bajaj, Vinay Pagaria",Kotak Securities,1000000,,7
EasyAspataal,2020,Mumbai,Healthcare,India’s First Digital Admission Desk for Hospitalisation.,"Manoj Gupta, Gunjali Kothari",Venture Catalysts,500000,Seed,7
SMOOR,2008,Bangalore,Food & Beverages,Instigate your sixth sense with our new range of chocolates.,Vimal Sharma,Klub,Undisclosed,,7
Pankhuri,2019,Bangalore,Social community,"Pankhuri is a women's only community for members to socialize, explore and upskill through live interactive courses, expert chat and interest-based clubs.",Pankhuri Shrivastava,Sequoia’s Surge,3200000,,7
Arcana,2019,Bangalore,Information Technology,Arcana is the Storage Layer of Ethereum.,"Mayur Relekar, Aravindh Kumar, Abhishek Chaudhary",Balaji Srinivasan,370000,Seed,7
AdmitKard,2016,Noida,EdTech,A tech solution for end to end career advisory to students looking to study abroad.,"Vamsi Krishna, Pulkit Jain, Gaurav Munjal #REF!",1000000,Pre-series A,,7
UrbanKisaan,2017,Hyderabad,Food & Beverages,A modern farms close to where your home is. Creating positive change at every step from seed to store ensuring quality and traceability.,"Srinivas Chaganti, Vihari Kanukollu, Sairam Reddy",BASF Venture Capital GmbH,Undisclosed,,7
Aquaconnect,2017,Chennai,Fishery,Aquaconnect is a global full-stack aquaculture technology venture that provides data-driven farm advisory and marketplace solutions to fish and shrimp farmers,Rajamanohar,"Rebright Partners, Flourish Ventures",4000000,Pre-series A,7
Vah Vah!,2020,Bangalore,EdTech,A mission to educate India and make its young and dynamic population job ready.,"Shailesh Daxini, Akash Senapaty, Muthukaleeshwaran Subbiah",Sequoia Surge,1800000,,7
LetsDressUp,2019,Gurugram,Apparel & Fashion,Building India's version of Stitch Fix,Aditya B,"Titan Capital, Sequoia Capital",300000,Pre-series A,7
Sapio Analytics,2019,Mumbai,Computer software,Aim to provide the most intelligent AI-powered policy making solutions for government institutions across the world.,"Ashwin Srivastava, Hardik Somani, Prashant Nikam",Parthiv Group,150000,,7
BHyve,2020,Mumbai,Human Resources,A Future of Work Platform for diffusing Employee Tacit Knowledge and enabling Peer Learning Networks,Backed by 100x.VC,"Omkar Pandharkame, Ketaki Ogale","ITO Angel Network, LetsVenture",300000,7
Indi Energy,2019,Roorkee,Renewables & Environment,"Indi Energy is an energy storage startup involved in R&D of next generation battery technologies, with superior performance than current counterparts.",Dr. ASIT SAHOO,Mumbai Angels Network,Undisclosed,Seed,7
The Ayurveda Co,2021,Gurugram,Consumer Goods,The Ayurveda Co. represents things that are all Ayurvedic at heart and are suited for the contemporary landscape.,"Param Bhargava, Shreedha Singh","GetVantage, Velocity, Shiprocket Capital",Undisclosed,,7
Pratilipi,2015,Bangalore,Online storytelling,"Pratilipi is the largest Indian language self-publishing platform with over 350,000 authors and more than 28,000,000 unique monthly readers.",Ranjeet Pratap Singh,"Krafton Inc, Omidyar",48000000,,7
Ati Motors,2017,Bangalore,Automotive,Autonomous industrial vehicle maker,"Saurabh Chandra, Saad Nasser","Blume Ventures, Exfinity Venture Partners",35000000,Pre-series A,7
peAR,2018,Mumbai,Deeptech,An AR / VR tech based Start-up in Mumbai.,"Dharmin Vora, Dhruvesh Mehta, Parth Vora",Inflection Point Ventures,300000,Pre-series A1,7
Gourmet Garden,2019,Bangalore,Farming,"100% contamination free, pesticide free naturoponically grown vegetables.",Arjun Balaji,"Beyond Next Ventures, M Venture Partners",3000000,,7
The Sleep Company,2019,Mumbai,Consumer Goods,Patent Pending sleep technology developed by actual Rocket Scientists and sleep experts after years of research.,,Fireside Ventures,1000000,Pre-series A,7
TyrePlex,2020,New Delhi,B2B E-commerce,Tyreplex is digitizing the tyre dealers in India.,"Puneet Bhaskar, Rupendra Pratap Singh",AdvantEdge Founders,Undisclosed,Seed,7
ION Energy,2016,Mumbai,Automotive,Advanced Electronics & Software Supplier for Electric Vehicles & Battery Energy Storage,Akhil Aryan,,3600000,Pre-series A,7
Digit Insurance,2016,Bangalore,Insuretech,"Digit becomes the first Unicorn of 2021, valued at 1.9B.",Kamesh Goyal,"Faering Capital, Sequoia Capital India, IIFL Alternate Asset Managers",200000000,,7
FRAAZO,2020,Mumbai,Food & Beverages,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,"Atul Kumar, Aashish Krishnatre","Sixth Sense Ventures, NABVENTURES",11000000,Series A,7
Licious,2015,Bangalore,Food & Beverages,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.","Abhay Hanjura, Vivek Gupta","Temasek, Multiples PE",192000000,Series F,7
WinZO,2018,New Delhi,Gaming,WinZO is the largest social gaming and entertainment platform in India.,Paavan Nanda,Griffin Gaming Partners,65000000,Series C,7
Furlenco,2012,Bangalore,Consumer Goods,Furlenco is a different furniture company.,Ajith Mohan Karimpana,Zinnia Global,100000000,,7
Skylark Drones,2014,Bangalore,Aviation,"Enterprise drone solutions that help plan, build, and sustain the world we live in.",Mughilan Thiru Ramasamy,"InfoEdge Ventures, IAN Fund",3000000,Pre-series A,7
Leegality,2016,Gurugram,IT company,"The market standard for eSign, eStamp and Document Workflow in India. Eliminating paper from paperwork since 2016",Shivam Singla,"IIFL, Mumbai Angels",Undisclosed,Pre-series A,7
Arcatron Mobility,2015,Pune,Healthcare,Mission is to advance global standards of assisted living and make it dignified and safer.,Ganesh Sonawane,Klub,Undisclosed,,7
TWID,2020,Bangalore,FinTech,"TWID is shaping the future of Digital Currencies, delivering new-age fintech solutions","Amit Sharma, Amit Koshal, Rishi Batra","BEENEXT, Sequoia’s Surge",2500000,,7
PeakPerformer,2020,Bangalore,EdTech,"A goal-oriented, outcome-driven platform to make leadership coaching accessible to all.","Aishwarya Goel, Gaurav Jhunjhnuwala",Antler India,Undisclosed,Early seed,7
MyMobiForce,2018,Noida,Internet,"Crowdsourcing platform imparting best-in-class services with immensely talented, skilled & qualified workforce pan-India","Dheeraj Khatter, Himanshu Kumar, Kshitiz Saini",Bharat Inclusion,1400000,Pre-series A,7
Pine Labs,1998,Noida,Information Technology,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,Amrish Rau,"Fidelity, BlackRock",600000,,7
Genworks Health,2015,Bangalore,Healthcare,GENWORKS Health is an initiative by GE for empowering healthcare professionals operating in the rural areas to deliver better medical facilities and diagnostics while keeping things affordable.,S Ganeshprasad,Blacksoil,2000000,,7
Pocketly,2019,Bangalore,FinTech,"Pocketly provides quick cash on hand, anytime - anywhere!","Aarav Bhatia, Navdeesh Ahuja",,Undisclosed,,7
Neverinstall,2019,Bangalore,Information Technology,A cloud platform to bring any GUI application regardless of OS and Device type to the browser.,"Lakshmana Pasala, Ram Pasala",Speciale Invest,370000,Seed,7
CoRover,2016,Bangalore,Information Technology,CoRover is the world’s first and the highest ROI delivering human-centric conversational AI platform.,"Ankush Sabharwal, Manav Gandotra, Kunal Bhakhri",Canbank Venture Capital Fund,Undisclosed,,7
BeatO,2015,New Delhi,Healthcare,ULTIMATE app to manage chronic conditions.,Gautam Chopra,W Health Ventures,5000000,Pre-series B,7
Earth Rhythm,2020,Gurugram,Cosmetics,A mission to make customers healthier and Earth a little greener.,Harini Sivakumar,Anicut Angel Fund,1200000,Seed,7
Fountain9,2019,Mumbai,Computer software,"Fountain9 is a Y Combinator backed company, which offers predictive inventory planning and optimization software for e-commerce, DTC and retail companies.","Niki Khokale, Rajas Lonkar","021 Capital, Y Combinator",1900000,Seed,7
Rockclimber,2019,Bangalore,Food & Beverages,RockClimber is a new age beverage brand with a portfolio of alcoholic and non alcoholic drinks.,"Deepak Poduval, Hariprasad Shetty",Anand Prakash Sharma,1000000,,7
SpEd@home,2020,Mumbai,EdTech,"Provide Remediation, Occupational Therapy, Speech Therapy and Socio-emotional coaching for children with Learning Disabilities like Dyslexia, Dysgraphia, Dyscalculia",Dhaval Mody,,300000,,7
CanPe,2019,Bangalore,Computer software,"Digital-first debt collections platform that is driven by compassion, and powered by AI.",Arindam Choudhury,Axilor Ventures,Undisclosed,Seed,7
Green Soul,2016,Ambernath,Consumer Goods,Green Soul is No.1 brand on Amazon India in Ergonomic chairs category in terms of customer reviews.,Ravi Khushwani,https://velocity.in/,200000,,7
Shiprocket,2012,New Delhi,Logistics,India's #1 eCommerce Logistics and Shipping Solution Empowering over 1 Lakh Indian eCommerce Sellers.,"Saahil Goel, Akshay Ghulati","March Capital, Tribe Capital",41000000,Series D1,7
DealShare,2018,Bangalore,Retail,The next generation disruptive (social) e-commerce product for the masses.,"Rajat Shikhar, Vineet Rao, Sourjyendu Medda",Tiger Global,144000000,,7
Teachmint,2020,Bangalore,EdTech,Teachmint is an all-in-one education technology platform created specifically for the tutors of the digital age.,"Mihir Gupta, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Learn Capital,20000000,Pre-series B,7
Vahak,2017,Bangalore,Transportation,Building India's Largest & Most Trusted Online Transport Marketplace & Directory,"Vikas Chandrawat, Karan Shaha",RTP Global,5000000,Pre-series A,7
goSTOPS,2014,New Delhi,Hospitality,goSTOPS aims to be India’s biggest and most loved backpacker hostel brand.,"Pallavi Agarwal, Pankaj Parwanda","IAN, Yuj Ventures",1000000,Pre-series A,7
Codedamn,2020,New Delhi,Computer software,Codedamn enables anyone to learn and practice real-world programming skills and become industry relevant through our learning paths.,Mehul Mohan,Antler India,Undisclosed,Pre-seed,7
Biocraft Innovation Technology,2019,Noida,Environmental service,Innovation startup developing bamboo resources of India to be used in industrial use by developing injection moulding granules,"Vibha Mittal, Anubhav Mittal",JITO Angel Network,Undisclosed,Pre-seed,7
Powerplay,2020,Bangalore,Construction,Powerplay helps simplify end to end Construction and Architecture project management.,"Shubham Goyal, Lesh Dixit","Sequoia’s Surge, Accel Partners",5200000,,7
Accio Robotics,2020,Bangalore,Industrial Automation,Accio Robotics is involved in the designing and manufacturing of state-of-the-art Robotics Automation solutions.,"Tuhin Sharma, Pranav Srinivasan",Uday Sodhi,Undisclosed,,6
Delhivery,2011,Gurugram,Logistics,"Delhivery is a supply chain services company that provides transportation, warehousing, freight, and order fulfillment services.","Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Fidelity, GIC",270000000,Series H,6
Avishkaar,2014,New Delhi,EdTech,India's leading Ed-Tech startup spearheading the Maker Revolution in the sub-continent,"Rajeev Gaba, Tarun Bhalla",Auxano,600000,Pre-series A,6
Jobsgaar,2020,New Delhi,Job discovery platform,India's first District level/ Hyper Local Job discovery platform,Atul Pratap Singh,SucSEED Indovation Fund,140000,Seed,6
Almo,2020,Gurugram,D2C Fashion,Almo is a Premium Men's essentianls wear brand focused on bringing sophisticated yet functional designs to wardrobe.,Abhishek Shah,Angelist India,Undisclosed,Seed,6
Breathe Well-being,2015,New Delhi,HealthCare,Breathe Wellbeing is an interactive and personalized platform that helps organization increase employee engagement and productivity.,"Aditya Kaicker, Rohan Verma","Stanford Angels and Entrepreneurs India, Anjali Bansal",1000000,Pre-series A,6
GalaxEye,2020,Chennai,SpaceTech,GalaxEye enables businesses to make better Decisions & perform operations efficiently via Space Technology.,"Denil Chawda, Kishan Thakkar, Pranit Mehta, Satyanarayanan Chakravarthy, Suyash Singh",Speciale Invest,Undisclosed,Pre-seed,6
Good Health Clinic,2021,Hyderabad,HealthCare,Full Stack Digital Health Clinic,Samarth Sindhi,Khosla Ventures,5000000,,6
Urban Company,2014,New Delhi,Home services,Urban Company is an India-based company providing a marketplace for freelance labor.,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan","Vy Capital, Wellington Management",250000000,Series F,6
MYBYK,2014,Ahmadabad,Rental,MYBYK is an app that provides premium bicycle sharing and rental service.,Arjit Soni,Avon Cycles,1000000,Pre-series A,6
Locus,2015,Bangalore,Logistics,Locus is an intelligent decision-making and automation platform for logistics.,"Geet Garg, Nishith Rastogi","Blume Ventures, Exfinity Venture Partners",50000000,Series C,6
Crejo.Fun,2020,Bangalore,EdTech,Crejo.Fun is a digital extracurricular learning platform being built with an intent to help children discover their passions and interests through creative learning.,Vikas Bansal,"Matrix Partners India, 021 Capital",3000000,Seed,6
Bambinos,2020,Bangalore,EdTech,Cohort based extracurricular course for kids,"Ashish Gupta, Ankit Hetamsaria","HNIs, Angels",500000,Seed,6
KreditBee,2018,Bangalore,FinTech,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong","NewQuest Capital Partners, Motilal Oswal Private Equity",8000000,,6
Spardha,2016,Pune,EdTech,"Spardha School Of Music, Spardha Academy, Spardha Online are associated marks with Spardha Learnings Private Limited.","Saurabh Srivastav, Amrita Srivastav",Inflection Point Ventures,400000,Pre-series A1,6
Onelife Nutriscience,2019,Mumbai,HealthCare,Onelife Nutriscience is a consumer healthcare brands company.,Gaurav Aggarwal,Lasons India,Undisclosed,,6
Flatheads,2019,Bangalore,Fashion,Flatheads is a lifestyle brand that designs and creates shoes from India for the world. Flatheads launched India's first bamboo footwear.,"Ganesh Balakrishnan, Utkarsh Biradar","Pankaj Chaddah, Srivatsan Rajan",Undisclosed,,6
Fable Fintech,2015,Mumbai,FinTech,"Fable Fintech is being seed-funded by the CCAvenue Group, South East Asia’s number 1 eCommerce service provider",Naushad Contractor,Paytm,Undisclosed,Series A,6
Holisol,2009,New Delhi,Logistics,HoliSol Logistics Is a Supply Chain Operations Company!,"Manish Ahuja, Naveen Rawat, Rahul Dogar","BlackSoil, CLSA Capital Partners",3000000,,6
Now&Me,2018,New Delhi,HealthCare,"Now&Me is a safe cocoon in the form of discussion forums, for you to let out your most intimate thoughts.","Bani Singh, Drishti Gupta","Saama, Whiteboard Capital",1000000,,6
Fyllo,2019,Bangalore,AgriTech,Fyllo brings farms on palms by installing on field devices and actions on top of this data.,"Sudhanshu Rai, Sumit Sheoran","Indian Angel Network, Titan Capital, Lead Angels",400000,Seed,6
Cora Health,2020,Bangalore,HealthCare,Social Commerce Marketplace for health and wellness. Help people discover products suited to their health needs.,"Shrijit Venkatesh, Snigdha Kumar",,Undisclosed,,6
Blaer Motors,2014,Chennai,Mobility,Meant to augment human power and not completely replace it,Abinesh Ekambaram,The Chennai Angels,300000,,6
Swiflearn,2019,Gurugram,EdTech,Swiflearn provides online tuition classes to small batches to ensure personalised learning.,"Abhinav Agarwal, Anand Bakode","Venture Highway, Stellaris Venture Partners",3000000,Pre-series A,6
Cashfree,2015,Bangalore,FinTech,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,"Akash Sinha, Reeju Datta","State Bank of India, Y Combinator",Undisclosed,,6
QuickSell,2017,Mumbai,E-commerce,B2B Mobile Commerce Platform,Deepak Bhagchandani,"Sanjay Baldwa, Ajay Jain",2000000,Pre-series A,6
Truemeds,2019,Mumbai,Heathcare,Truemeds is a health-tech startup.,"Akshat Nayyar, Kunal Wani",InfoEdge,5000000,Series A,6
Candes,2015,New Delhi,E-commerce,Candes is a home appliances company providing a complete range of home & kitchen electrical appliances at affordable prices.,"Sandeep Aggarwal, Vipin Aggarwal","Nitin Passi, Ruchirans Jaipuria",3000000,,6
MediBuddy,2000,Bangalore,Heathcare,"MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.","Satish Kannan, Enbasekar","Stride Ventures, InnoVen Capital",3000000,,6
F5,2018,New Delhi,Food & Beverages,F5 is a foods and beverages company.,"Lalit Aggarwal, Raghav Arora","Venture Catalysts, Jeevak Gupta",300000,Pre-series A,6
Capital Float,2013,Bangalore,FinTech,Capital Float is an online platform that provides working capital finance to SMEs in India.,"Gaurav Hinduja, Sashank Rishyasringa","Triodos Investment Management, SAIF Partners",6000000,,6
IntelleWings,2019,Panchkula,IT startup,"IntelleWings develops Sanctions & Anti-money laundering solutions with a clear, concise, and fresh perspective.",Pramod Sharma,,100000,Seed,6
Shyplite,2016,New Delhi,Logistics,Enable E-retailers to automate their logistics and increase efficiency in shipments by providing a single window shipping platform,"Nisschal Jain, Sugam Jain, Parinay Itkan",N+1 Capital,1000000,,6
Refyne,2020,Bangalore,FinTech,Refyne partners with organisations to extend on-demand Earned Wage Access (EWA) to employees.,"Chitresh Sharma, Apoorv Kumar","DST Global, RTP Global",20000000,Series A,6
Greenjoules,2018,Pune,Renewable Energy,Greenjoules is a green energy technology startup that specializes in making renewable biofuels.,"R. Sethunath, V S Shridhar, V. Radhika, Viraraghavan Sankaran",Blue Ashva Capital,4500000,Series A,6
MentorKart,2018,New Delhi,Consulting,MentorKart™ helps to fulfil dreams and take that big step towards success.,"Ashish Khare, SK Mohanty","Amit Singal, Manish Aggarwal",150000,Seed,6
Leverage Edu,2017,New Delhi,EdTech,AI-enabled marketplace designed to help students with their higher education and career growth plans,Akshay Chaturvedi,"Trifecta Capital Advisors, Blume Ventures",2000000,Debt,6
Kale Logistics,2010,Thane,Logistics,Kale Logistics Solutions is a global IT solutions provider focused on providing cutting-edge technology solutions to the Logistics industry.,"Amar More, Vipul Jain",Inflexor Ventures,5000000,Series A,6
CustomerGlu,2016,Bangalore,CRM,CustomerGlu is a Low code Interactive Engagement platform to improve user stickiness.,"Prateek Gupta, Raman Shrivastava, Sumant US","Kumar Aakash, Amit Singhal",320000,,6
Cell Propulsion,2016,Bangalore,EV startup,Cell Propulsion is a fleet electrification company developing solutions for large scale electrification of commercial vehicle fleets.,"Nakul Kukar, Paras Kaushal",growX ventures,2000000,,6
Wellbeing Nutrition,2019,Mumbai,HealthCare,Organic whole food nutrition to keep up with the pace at which we live,Avnish Chhabria,Klub,Undisclosed,,6
Pee Safe,2013,Gurugram,HealthCare,Redcliffe Hygiene Private Limited is India's fastest growing hygiene company.,"Dheeraj Jain, Srijana Bagaria, Vikas Bagaria","Shaival Desai, Alkemi Venture Partners",3000000,Pre-series B,6
Chqbook,2017,New Delhi,FinTech,"Chqbook is a fintech startup that allows customers to explore, compare, book and get personal finance products.","Mohit Goel, Rajat Kumar, Sachin Arora, Vipul Sharma","Aavishkaar Venture Capital, YWC Venture Capital",1000000,,6
SimpliContract,2020,Bangalore,Software,"SimpliContract is an Enterprise SaaS offering, focused on end to end Contract Life-cycle Management.","Guru Venkatesan, Jinaraj PG, Makesh Kumar",Kalaari Capital,1800000,Seed,6
Dropshop,2019,Bangalore,Logistics,Building technology to make distribution efficient and cheaper for large and small FMCG companies,"Udit Dhawan, Rohit Fernandes, Ravi Teja",Inflection Point Ventures,1000000,Pre-series A,6
Jumbotail,2015,Bangalore,E-commerce,Jumbotail is an operator of an online marketplace that simplifies food and grocery shopping.,"Ashish Jhina, Karthik Venkateswaran",Alteria Capital,4000000,Debt,6
BYJU'S,2011,Bangalore,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath","Tiga Investments, Baron Capital",350000000,,6
Power Gummies,2018,New Delhi,Nutrition,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Divij Bajaj,"Venture Catalysts, 9unicorns",1000000,,6
Convosight,2019,New Delhi,SaaS startup,A mission - to help community builders become community entrepreneurs.,Tarun Dhamija,Qualgro,9000000,Series A,6
Junio,2020,New Delhi,FinTech,Junio is a kids-focused digital pocket money-smart card.,Ankit Gera,"Amit Lakhotia, Pravin Jadhav",600000,Seed,6
Wherehouse.io,2020,New Delhi,Logistics,"Wherehouse.io is a supply chain intelligence company, helping brands to move closer to their customers enabling faster and better deliveries and accelerating business growth.","Vaibhav Chawla, Jeevan Prakash, Lavelesh Sharma",Better Capital,Undisclosed,Seed,6
Flexmoney,2015,Mumbai,FinTech,"Flexmoney’s mission is to address the enormous digital credit market opportunity created by the disruption from e-commerce, EMI and BNPL checkout finance",Yezdi Lashkari,Pravega Ventures,4800000,Series A,6
Fampay,2019,Bangalore,FinTech,India's first numberless card and UPI without a bank account,"Kush Taneja, Sambhav Jain","Greenoaks Capital, Elevation Capital",38000000,Series A,6
Apna,2019,Bangalore,Human Resources,India's Professional App - Apna is dedicated to solving the problem of unemployment at the grassroot level,Nirmit Parikh,"Sequoia Capital India, rocketship.vc",70000000,Series B,6
XYXX Apparels,2017,Surat,Fashion,"XYXX Apparels,which runs an eponymous innerwear brand",Yogesh Kabra,https://sauce.vc/,4000000,Series A,6
WaterScience,2014,Bangalore,D2C startup,The aim of making good water affordable and accessible.,Sudeep N,https://velocity.in/,Undisclosed,,6
BrowserStack,2011,Mumbai,SaaS startup,BrowserStack is a leading software testing platform powering over two million tests every day across 15 global data centres.,"Nakul Aggarwal, Ritesh Arora",Accel,200000000,Series B,6
Vital,2018,New Delhi,Insuretech,"An affordable, digital health plan built around to cover both big and small expenses",Rahul Kumar,BLinC Invest,3000000,Pre-series A,6
Juicy chemistry,2014,Coimbatore,HealthCare,Juicy Chemistry operates as an eponymous consumer brand.,"Megha, Pritesh Asher",Spring Marketing Capital,Undisclosed,,6
Samaaro,2020,Bangalore,SaaS startup,"Samaaro is a virtual event platform designed to help organizations host scalable, secure, and effective virtual events for a global audience","Mayank Banka, Purnank Prakash, Skandha Gopalan","Chaitanya Kalipatnapu, Kedar Gavane",125000,,6
Imagimake,2011,Mumbai,Innovation management,An innovative play system to help children create their imagination,"Disha Katharani, Ravi Kumar","Roha Investment Managers, angel investor Saumil Shah",500000,Pre-series A,6
MSMEx,2019,Andheri,EdTech,MSMEx connects micro and small Business Owners with curated Business Experts over live video.,"Amit Kumar, Vishal Kumar, Dilip Kumar, Khushboo Arora, Kumar Sambhav","TNF Ventures, Razorpay",1000000,Pre-series A,6
RenewBuy,2015,Gurugram,Insuretech,Simplest way to renew car insurance. Get quote and insure car in couple of minutes,"Balachander Sekhar, Sandeep Nanda","Lok Capital, IIFL Asset Management",45000000,Series C,6
saarthi.ai,2017,Bangalore,AI startup,Multilingual Conversational Enterprise AI Platform for omnichannel automation of customer journeys in the user's native language.,"Piyush Dangaich, Sameer Sinha, Sangram Sabat, Vishwa Nath Jha",Nvidia Inception,Undisclosed,Seed,6
Kutumb,2020,Bangalore,Community platform,Kutumb is a social community enabler.,"Mohit Sharma, Naveen Dewangan, Vipul Allawadhi","Tiger Global Management, DST Global",26000000,Series A,6
Superplum,2019,Noida,AgriTech,Building India's most sophisticated platform for high quality fresh food,Shobhit Gupta,Marquee investors,3800000,Pre-series A,6
Upside AI,2017,Mumbai,FinTech,Upside AI on the thesis that technology will make better investing decisions than humans over the long term.,"Kanika Agarrwal, Nikhil Hooda, Atanuu Agarrwal",Endiya Partners,1200000,Seed,6
PazCare,2021,Bangalore,Insuretech,Paz Care is India's leading Employee Benefits & Health insurance platform,Sanchit Malik,"Ashish Hemrajani, Parikshit Dar",Undisclosed,,6
Answer Genomics,2019,Bangalore,HealthCare,A healthcare company that uses genome-based data to help individuals make decisions.,Rahul Ranganathan,"India Accelerator, Lyxel&Flamingo",Undisclosed,,6
Skillmatics,2016,Mumbai,EdTech,Skillmatics develops learning games for pre-school and primary school kids aged under 10,Dhvanil Sheth,Sequoia Capital India,6000000,Series A,6
Bimaplan,2020,Bangalore,Insuretech,Affordable insurance for the next billion Indians,Vikul Goyal,"Roshan Abbas, Ritesh Malik",2500000,Pre-series A,6
Bueno Finance,2019,Gurugram,FinTech,"Bueno Gig Growth Technologies Pvt Ltd (""Bueno Finance"") is a financial services platform which aims is to help improve the financial health of customers.","Saurav Gandhi, Sandeep Arora","Goat Capital, JAM Fund",3000000,Seed,6
CityMall,2019,Gurugram,E-commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"Angad Kikla, Naisheel Verdhan","General Catalyst, Jungle Ventures",22000000,Series B,6
BYJU’S,2011,Bangalore,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath","Blackstone Group, ADQ",50000000,,6
India Quotient,2012,Mumbai,Venture capitalist,India Quotient is a new type of early stage investor. We fund companies building disruptive businesses aimed at Indian consumers. We're,"Anand Lunia, Madhukar Sinha",,64000000,,6
The Switch Fix,2019,Gurugram,HealthCare,The Switch Fix is a plant-based clean and conscious personal care brand for young urbans.,"Abhishek Kumar, Rhea Shukla","Venture Catalysts, 9Unicorns",Undisclosed,Seed,6
Anvidha Technologies,2020,Haryana,Tech Startup,Anvidha Technologies Private Limited is a HARYANA based private ltd.,Ganesh ranganathan iyer,,1500000,Seed,6
DigiSparsh,2020,Mumbai,FinTech,DigiSparsh is India's first and only healthcare fintech platform which aims to make healthcare facilities accessible to everyone in the country.,"Saurabh Soni, Akhilesh Gandhi",GoAhead Ventures,Undisclosed,Seed,6
CoffeeMug.ai,2020,New Delhi,Networking,"A video first global platform of senior professionals, connecting 1:1, virtually or over coffee, building a powerful, long-lasting relationship.","Abhishek Sharma, Dipti Tandon","Paradigm Shift Capital, AngelList India",620000,Pre-seed,6
Pathfndr.io,2015,Bangalore,SaaS startup,Intelligent Travel Tech Stack making sense of the world's information by scanning billions of data points and ranking destinations,Varun Gupta,Arali Ventures,Undisclosed,Pre-series A,6
BigLeap,2015,Hyderabad,Recruitment,BigLeap Technologies & Solutions is focused on providing viable offshore consultancy services for enterprises looking to grow their business.,"Jamesh Johnson, Sainath Malkapuram Goud",Anup Kumar Yama,600000,,6
Kazam,2020,Bangalore,EV startup,"Kazam provides end to end Electric Vehicle charging solutions for Office Spaces, Apartments, Restaurants, Shops","Akshay Shekhar, Vaibhav Tyagi",Inflection Point Ventures,900000,Seed,6
MYRE Capital,2020,Mumbai,Commercial Real Estate,Democratising Real Estate Ownership,Own rent yielding commercial properties,Aryaman Vir,,6000000,6
BimaPe,2020,Mumbai,FinTech,BimaPe demystifies Insurance and its Management for individuals and families across India. 'BimaPe Bharosa Karo',Rahul Mathur,"iSeed, Titan Capital",500000,Pre-seed,6
MicroDegree,2019,Mangalore,EdTech,MicroDegree is an ed-tech platform working towards democratising technology and job ready skills for Bharat.,"Gaurav Kamath, Rakesh Kothari, Manikanta Nair",Research Innovation Incubation Design Labs,Undisclosed,,6
Saarthi Pedagogy,2015,Ahmadabad,EdTech,"India's fastest growing Pedagogy company, serving to school as an academic growth partner and provide 360° solutions to schools on Academic Strategies",Pedagogy,Sushil Agarwal,"JITO Angel Network, LetsVenture",1000000,6
Synapsica,2017,New Delhi,HealthCare,Artificial Intelligence tools to make quality diagnostic assessment available for all.,"Meenakshi Singh, Dr Cherian, Kuldeep Singh Chauhan","IvyCap Ventures, Endiya Partners",4000000,Series A,6
Kwik Foods,2020,Gurugram,Food & Beverages,Kwik Foods is one of the fastest-growing D2C fresh food brands that is disrupting the food industry,"Prabhleen Kaur, Harshal Patel",9Unicorns,Undisclosed,Seed,6
Plutomen,2016,Ahmadabad,AR startup,Plutomen Technologies Pvt Ltd founded in Nov 2016 is recognized start-up by DIPP in the field of Emerging Technology.,Keyur Bhalavat,"GUSEC Seed Fund, DeVX Venture Fund",300000,,6
