Company/Brand,Founded,Headquarters,Sector,What it does,Founder/s,Investor/s,Amount(in dollars),Stage,Month
Valuationary,2020,Surat,E-learning,EdTech platform upskilling candidates to bag deserving finance job roles.,"Pratik Bajaj, Kunal Shah, Mahip Gupta","Ashish Jain, Ajay Surana",100000,Pre-seed,11
Knocksense,2016,Lucknow,Online Media,Knocksense is a local news and recommendations platform.,"Varul Mayank, Vibhore Mayank","We Founder Circle, Appyhigh, Mumbai Angels",150000,,11
Petpooja,2011,Ahmedabad,Information Technology & Services,"Petpooja is the largest next-generation PoS platform for the F&B sector with more than 25,000+ clients across India and UAE.","Apurv Patel, Parthiv Patel","Aroa Ventures, GVFL, Udaan",4500000,,11
Wingreens Farms,2011,Gurugram,Food & Beverages,"Wingreens Farms is a fully integrated (farm to retail) Food Company in the business of making and selling a range of fresh, healthy, tasty and innovative food products.","Anju C Srivastava, Arjun Srivastava","Investcorp, Omidyar Network",17000000,,11
Doola,2020,New York,Company-as-a-Service,The ultimate One-Stop-Shop™️ to help US and Non-US Founders to turn an idea into their dream US Business,"Arjun Mahadevan, JP Pincheira",Nexus Venture Partners,3000000,,11
EyeMyEye,2021,Gurugram,Eyewear,"Shop the latest Eyeglasses, Sunglasses, Power Sunglasses, Contact Lens and more.",Ganesh Iyer,2000000,2000000,Pre-series A,11
Bombay Hemp Company,2013,Mumbai,Textiles,"BOHECO was founded to research on and promote industrial hemp, the super crop of our era in India. BOHECO was formally registered under The Companies Act","Avnish Pandya, Delzaad Deolaliwala","Riteesh Mohan Bakshi, Raghav Mohan Bakshi, Achin Kochar",2000000,,11
DGV,2019,Bangalore,Information Technology & Services,NeoBanking for Bharat,Ragavan Venkatesan,"Info Edge Ventures, Omnivore",3000000,Pre-series A,11
GuardianLink,2017,Chennai,Information Technology & Services,Building tech infrastructure to help NFT commerce go mainstream,"Ramkumar Subramaniam, Kamesh Elangovan",Kalaari Capital,12000000,Series A,11
Clinikk,2016,Bangalore,Hospital & Health Care,Transforming health insurance by building India's first managed care model,"Dr.Suraj Baliga, Bhavjot Kaur",MassMutual Ventures,4000000,Pre-series A,11
Toplyne,2021,Bangalore,Computer Software,Toplyne helps sales teams at product-led companies convert their freemium users!,"Rishen Kapoor and Ruchin Kulkarni, Rohit Khanna","Sequoia Capital , Together Fund",2500000,,11
Mensa,2021,Bangalore,D2C,"Mensa scales brands leveraging its expertise in ecommerce, technology, marketing, category management & demand planning.",Ananth Narayanan,"Alpha Wave Ventures, Falcon Edge Capital",135000000,Series B,11
GENLEAP,2021,Haryana,Professional Training & Coaching,GenLeap is India’s first self-discovery and career lifecycle management platform.,"Sachin Sandhir, Nimish Gupta, Nitin Thakur, Shweta Kataria","Vivek Vaidya, Kevin Donlon, Ayush Singh",8000000,Seed,11
Planys,2015,Chennai,Maritime,Planys is an Indian deep tech start-up creating a paradigm shift in the underwater inspection industry.,"Tanuj Jhunjhunwala, Vineet Upadhyay, Rakesh Sirikonda","Kieretsu Forum, Lets Venture, Shell",1600000,Pre-series A,11
