UPI Banks,Volume (Mn) By Costumers,Value (Cr) by Costumers,Volume (Mn),Value (Cr),Month,Year
Mobikwik,3.18,467.11,3.18,467.11,5,2021
Mobikwik,2.09,254.32,2.09,254.32,4,2021
Mobikwik,2.22,315.59,2.22,315.59,3,2021
Mobikwik,1.92,216.94,1.92,216.94,2,2021
Mobikwik,1.94,253.16,1.94,253.16,1,2021
NSDL Payments Bank App,0.01,1.31,0.01,1.31,12,2021
NSDL Payments Bank App,0.01,1.11,0.01,1.11,11,2021
NSDL Payments Bank App,0.01,0.84,0.01,0.84,9,2021
NSDL Payments Bank App,0.01,0.85,0.01,0.85,8,2021
NSDL Payments Bank App,0.01,0.86,0.01,0.86,7,2021
NSDL Payments Bank App,0.01,0.58,0.01,0.58,5,2021
Other Apps,0.03,14.98,0.03,14.98,11,2021
Other Apps,0.05,21.51,0.05,21.51,10,2021
Other Apps,0.03,11.75,0.03,11.75,9,2021
Other Apps,0.02,10.41,0.02,10.41,8,2021
Other Apps,0.03,13.88,0.03,13.88,4,2021
Other Apps,0.02,11.62,0.02,11.62,3,2021
Other Apps,0.02,10.49,0.02,10.49,2,2021
Other Apps,0.03,10.76,0.03,10.76,1,2021
Other Bank Apps,0.04,16.61,0.04,16.61,7,2021
Others,0.02,8.74,0.02,8.74,12,2021
Others,0.05,19.27,0.05,19.27,6,2021
Others,0.03,12.47,0.03,12.47,5,2021
Paytm Payments Bank App,612.71,71874.13,706.37,88094.49,12,2021
Paytm Payments Bank App,543.71,66920.55,631.3,81403.37,11,2021
Paytm Payments Bank App,542.57,64727.41,632.18,80508.04,10,2021
Paytm Payments Bank App,462.71,53793.06,543.55,61417.53,9,2021
Paytm Payments Bank App,423.63,50021.4,498.65,56319.62,8,2021
Paytm Payments Bank App,387.85,46406.52,454.06,51694.41,7,2021
Paytm Payments Bank App,326.53,40614.09,383.05,44981.11,6,2021
Paytm Payments Bank App,290.69,35715.48,343.81,43741.16,5,2021
Paytm Payments Bank App,320.78,36859.2,372.7,41469.53,4,2021
Paytm Payments Bank App,344.99,38653.06,401.16,43221.25,3,2021
Paytm Payments Bank App,290.03,34405.44,340.71,38493.52,2,2021
Paytm Payments Bank App,281.18,33909.5,332.69,37845.76,1,2021
PhonePe,2077.6,394565.58,2077.6,394565.58,12,2021
PhonePe,1911.21,365044.32,1911.21,365044.32,11,2021
PhonePe,1937.57,365845.39,1937.57,365845.39,10,2021
PhonePe,1653.19,306437.37,1653.19,306437.37,9,2021
PhonePe,1622.95,301644.8,1622.95,301644.8,8,2021
PhonePe,1492.09,288573,1492.09,288572.9,7,2021
PhonePe,1292.71,262565.88,1292.71,262565.88,6,2021
PhonePe,1149.84,234123.57,1149.84,234123.57,5,2021
PhonePe,1189.89,234023.33,1189.89,234023.33,4,2021
PhonePe,1199.51,231412.33,1199.51,231412.33,3,2021
PhonePe,975.53,189517.82,975.53,189517.82,2,2021
PhonePe,968.72,191973.77,968.72,191973.77,1,2021
Punjab National Bank App,0.07,33.76,0.07,33.76,12,2021
Punjab National Bank App,0.07,31.14,0.07,31.14,11,2021
Punjab National Bank App,0.08,32.06,0.08,32.06,10,2021
Punjab National Bank App,0.07,25.07,0.07,25.07,9,2021
Punjab National Bank App,0.04,15.28,0.04,15.28,8,2021
Punjab National Bank App,0.02,8.86,0.02,8.86,7,2021
Punjab National Bank App,0.08,41.1,0.08,41.1,6,2021
Punjab National Bank App,0.11,55.51,0.11,55.51,5,2021
Punjab National Bank App,0.12,63.07,0.12,63.07,4,2021
Punjab National Bank App,0.14,72.25,0.14,72.25,3,2021
Punjab National Bank App,0.13,62.93,0.13,62.93,2,2021
Punjab National Bank App,0.13,64.68,0.13,64.68,1,2021
Punjab Sind Bank App,0.01,3.21,0.01,3.21,3,2021
Punjab Sind Bank App,0.01,3.67,0.01,3.67,2,2021
Punjab Sind Bank App,0.01,3.18,0.01,3.18,1,2021
Punjab Sindh Bank App,0.01,2.7,0.01,2.7,9,2021
Punjab Sindh Bank App,0.01,2.53,0.01,2.53,8,2021
RBL Bank App,0.35,102.17,0.35,102.17,12,2021
RBL Bank App,0.25,81.95,0.25,81.95,11,2021
RBL Bank App,0.22,84.08,0.22,84.08,10,2021
RBL Bank App,0.17,65.95,0.17,65.95,9,2021
RBL Bank App,0.16,70.24,0.16,70.24,8,2021
RBL Bank App,0.15,68.54,0.15,68.54,7,2021
RBL Bank App,0.13,61.95,0.13,61.95,6,2021
RBL Bank App,0.12,56.21,0.12,56.21,5,2021
RBL Bank App,0.13,58.08,0.13,58.08,4,2021
RBL Bank App,0.14,59.94,0.14,59.94,3,2021
RBL Bank App,0.12,49.4,0.12,49.4,2,2021
RBL Bank App,0.12,48.58,0.12,48.58,1,2021
RealMe,0.01,0.41,0.01,0.41,8,2021
RealMe,0.01,1.44,0.01,1.44,3,2021
RealMe,0.01,1.63,0.01,1.63,2,2021
RealMe,0.01,1.86,0.01,1.86,1,2021
Samsung Pay,3.21,436.3,3.21,436.3,12,2021
Samsung Pay,2.8,412.13,2.8,412.13,11,2021
Samsung Pay,2.81,428.41,2.81,428.41,10,2021
Samsung Pay,2.37,371.1,2.37,371.1,9,2021
Samsung Pay,2.25,372.08,2.25,372.08,8,2021
Samsung Pay,2.02,367.67,2.02,367.67,7,2021
Samsung Pay,1.64,331.04,1.64,331.04,6,2021
Samsung Pay,1.36,302.68,1.36,302.68,5,2021
Samsung Pay,1.62,312.93,1.62,312.93,4,2021
Samsung Pay,1.83,326.96,1.83,326.96,3,2021
Samsung Pay,1.65,296.08,1.65,296.08,2,2021
Samsung Pay,1.67,314.07,1.67,314.07,1,2021
South Indian Bank App,0.13,39.92,0.13,39.92,12,2021
South Indian Bank App,0.11,36.91,0.11,36.91,11,2021
South Indian Bank App,0.11,37.4,0.11,37.4,10,2021
South Indian Bank App,0.09,31.18,0.09,31.18,9,2021
South Indian Bank App,0.09,31.69,0.09,31.69,8,2021
South Indian Bank App,0.08,28.23,0.08,28.23,7,2021
South Indian Bank App,0.06,24.3,0.06,24.3,6,2021
South Indian Bank App,0.05,19.67,0.05,19.67,5,2021
South Indian Bank App,0.07,23.53,0.07,23.53,4,2021
South Indian Bank App,0.07,25.5,0.07,25.5,3,2021
South Indian Bank App,0.06,22.61,0.06,22.61,2,2021
South Indian Bank App,0.06,22.77,0.06,22.77,1,2021
Standard Chartered Bank App,0.1,60.26,0.1,60.26,12,2021
Standard Chartered Bank App,0.09,53.87,0.09,53.87,11,2021
Standard Chartered Bank App,0.1,56.38,0.1,56.38,10,2021
Standard Chartered Bank App,0.08,45.86,0.08,45.86,9,2021
Standard Chartered Bank App,0.08,45.31,0.08,45.31,8,2021
Standard Chartered Bank App,0.08,46.29,0.08,46.29,7,2021
Standard Chartered Bank App,0.06,39.42,0.06,39.42,6,2021
Standard Chartered Bank App,0.06,36.73,0.06,36.73,5,2021
Standard Chartered Bank App,0.06,33.32,0.06,33.32,4,2021
Standard Chartered Bank App,0.05,30.66,0.05,30.66,3,2021
Standard Chartered Bank App,0.05,27.11,0.05,27.11,2,2021
Standard Chartered Bank App,0.05,27.86,0.05,27.86,1,2021
State Bank of India Apps,3.63,1961.7,3.63,1961.72,12,2021
State Bank of India Apps,3.72,1990.21,3.72,1990.21,11,2021
State Bank of India Apps,3.98,2089.18,3.98,2089.18,10,2021
State Bank of India Apps,3.77,1874.58,3.77,1874.58,9,2021
State Bank of India Apps,3.69,1905.52,3.69,1905.52,8,2021
State Bank of India Apps,3.55,1908.2,3.55,1908.2,7,2021
State Bank of India Apps,3.43,1978.61,3.43,1978.61,6,2021
State Bank of India Apps,3.69,2079.32,3.69,2079.32,5,2021
State Bank of India Apps,4.14,2359.08,4.14,2359.08,4,2021
State Bank of India Apps,4.55,2578.38,4.55,2578.38,3,2021
State Bank of India Apps,4.13,2273.77,4.13,2273.77,2,2021
State Bank of India Apps,4.29,2358.82,4.29,2358.82,1,2021
Truecaller,0.01,3.55,0.01,3.55,3,2021
Truecaller,0.05,15.36,0.05,15.36,2,2021
Truecaller,0.01,1.94,0.01,1.94,1,2021
UCO Bank App,0.14,33.49,0.14,33.49,12,2021
UCO Bank App,0.12,30.41,0.12,30.41,11,2021
UCO Bank App,0.11,27.95,0.11,27.95,10,2021
UCO Bank App,0.1,23.44,0.1,23.44,9,2021
UCO Bank App,0.09,21.64,0.09,21.64,8,2021
UCO Bank App,0.08,22.5,0.08,22.5,7,2021
UCO Bank App,0.09,20.8,0.09,20.8,6,2021
UCO Bank App,0.08,19.5,0.08,19.5,5,2021
UCO Bank App,0.07,16.17,0.07,16.17,4,2021
UCO Bank App,0.07,16.08,0.07,16.08,3,2021
UCO Bank App,0.06,13.69,0.06,13.69,2,2021
UCO Bank App,0.05,14.12,0.05,14.12,1,2021
Ultracash,1.96,178.99,1.96,178.99,12,2021
Ultracash,2.13,162.44,2.13,162.44,11,2021
Ultracash,2.32,170.32,2.32,170.32,10,2021
Ultracash,2.02,163.57,2.02,163.57,9,2021
Ultracash,1.66,161.92,1.66,161.92,8,2021
Ultracash,1.45,158.45,1.45,158.45,7,2021
Ultracash,1.19,148.09,1.19,148.09,6,2021
Ultracash,1.15,142.92,1.15,142.92,5,2021
Ultracash,1.49,178.72,1.49,178.72,4,2021
Ultracash,1.33,158.23,1.33,158.23,3,2021
Ultracash,0.89,118.31,0.89,118.31,2,2021
Ultracash,0.75,120.28,0.75,120.28,1,2021
Union Bank Apps,0.36,167.6,0.36,167.6,12,2021
Union Bank Apps,0.43,178.53,0.43,178.53,11,2021
Union Bank Apps,0.66,223.98,0.66,223.98,10,2021
Union Bank Apps,0.41,155.2,0.41,155.2,9,2021
Union Bank Apps,0.37,150.94,0.37,150.94,8,2021
Union Bank Apps,0.33,137.37,0.33,137.37,7,2021
Union Bank Apps,0.29,128.37,0.29,128.37,6,2021
Union Bank Apps,0.28,110.65,0.28,110.65,5,2021
Union Bank Apps,0.34,135.79,0.34,135.79,4,2021
Union Bank Apps,0.38,144.93,0.38,144.93,3,2021
Union Bank Apps,0.32,119.4,0.32,119.4,2,2021
Union Bank Apps,0.24,99.94,0.24,99.94,1,2021
WhatsApp,2.25,188.78,2.25,188.78,12,2021
WhatsApp,2.11,149.38,2.11,149.38,11,2021
WhatsApp,1.01,62.31,1.01,62.31,9,2021
WhatsApp,0.5,44.7,0.5,44.7,8,2021
WhatsApp,0.47,45.33,0.47,45.33,7,2021
WhatsApp,0.46,42.44,0.46,42.44,6,2021
WhatsApp,0.51,48.15,0.51,48.15,5,2021
WhatsApp,0.54,47.62,0.54,47.62,4,2021
WhatsApp,0.58,38.17,0.58,38.17,3,2021
WhatsApp,0.55,32.41,0.55,32.41,2,2021
WhatsApp,0.56,36.44,0.56,36.44,1,2021
WhatsApp*,2.6,104.19,2.6,104.19,10,2021
Yes Bank Apps,24.88,5689.57,25.14,5689.75,12,2021
Yes Bank Apps,24.13,6170.96,24.34,6171.08,11,2021
Yes Bank Apps,28.32,7660.21,28.41,7660.27,10,2021
Yes Bank Apps,23.02,4994.32,23.03,4994.33,9,2021
Yes Bank Apps,24.34,5702.87,24.35,5702.87,8,2021
Yes Bank Apps,25.94,4811.73,25.94,4811.73,7,2021
Yes Bank Apps,24.72,5227.04,24.72,5227.04,6,2021
Yes Bank Apps,21.08,4486.54,21.08,4486.54,5,2021
Yes Bank Apps,22.81,5120.17,22.81,5120.17,4,2021
Yes Bank Apps,29.14,4831.58,29.14,4831.58,3,2021
Yes Bank Apps,29.34,3396.01,29.34,3396.01,2,2021
Yes Bank Apps,14.78,3207.95,14.78,3207.95,1,2021
YuvaPay,0.05,78.43,0.05,78.43,12,2021
YuvaPay,0.04,66.62,0.04,66.62,11,2021
YuvaPay,0.04,61.62,0.04,61.62,10,2021
YuvaPay,0.04,46.94,0.04,46.94,9,2021
YuvaPay,0.02,19.01,0.02,19.01,8,2021
YuvaPay,0.48,38.3,0.48,38.3,7,2021
YuvaPay,1.33,60.44,1.33,60.44,6,2021
YuvaPay,2.32,73.16,2.32,73.16,5,2021
YuvaPay,1.59,51.22,1.59,51.22,4,2021
YuvaPay,0.56,18.56,0.56,18.56,3,2021
YuvaPay,0.02,0.63,0.02,0.63,2,2021
