Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brazil,BRA,3339800,3911000,4671400,5842400,6855500,7772900,8799000,9514400,10621300,11856900,13008100,12594600,13168300,12605900,12948400,13402900,17194700,17068600,17010900,19410800,19149600,19153100,16388500,16535600,17898600,20196100,22011500,24307000,28091100,28205300,31287784,34285574,35889538,32372040,35263795,37661733,40945038,45286990,58763225,67945578,74627064,87860363,94752568,95591641,100403628,102039359,94142377,96395709,102109977,102917546,
Barbados,BRB,,11500,19700,23700,25600,32600,33700,42300,50200,53900,45500,60800,43800,34500,55000,32400,52400,17000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,,,,,,,,,,,,,,,184400,198900,206600,247000,279000,300000,307000,307000,410000,604100,769400,916200,856900,876800,876800,808000,863547,1007542,1035795,956133,1079578,977516,1041478,1017028,1075754,999375,1263270,1312935,1044170,1139784,1061148,1150003,1168609,1172201,1234455,1421313,
Bhutan,BTN,,,,,,,,,,,,,,,,,,,8000,8000,8000,8000,8700,8700,8700,29700,35000,36100,36100,30700,34425,35114,40859,36365,45456,49092,51056,53609,52805,49056,181537.3717,226153.1266,193405,207996,302160,162864,224101,254643,275849,276092,
Botswana,BWA,,,,,,,,,,10400,39000,50000,46700,50300,54500,58900,54000,60100,57700,82100,101300,102300,111200,122600,100500,99900,104000,116400,123700,144100,163909,169526,179041,188842,212951,229987,213587,227624,236182,233515,290195,415864.0844,415130.021,270996,205992,226549,254396,223673,253417,299351.994,
Central African Republic,CAF,69500,71800,68900,74100,79500,88000,98400,103400,117200,122300,136100,129100,112300,114400,117700,123500,128400,122100,123700,128000,130300,120300,66300,68200,69200,74100,75100,85500,90500,83900,77273,46364,,,,,,,,,,,,,,,,,,,
Canada,CAN,10180300,10247300,11628500,14626800,16367500,16712900,16833100,17466400,18472000,20846400,22453000,22097100,19653800,18107900,19382600,19688400,20378500,19946500,22379400,21273800,20601400,16586500,16818300,17516500,18104800,20291100,22856000,23981500,24653300,24602000,41767974,40451914,23323029,35884417,40701307,45229860,46726978,52103547,53718757,52583516,63277409.38,66078011.95,70467400.79,71526725.92,75528607,80228302,85406425,91404001,91504000,93352000,
Central Europe and the Baltics,CEB,3799600,3806500,4411500,4884800,4862400,5252700,5839000,6213400,6626200,7313900,6945200,6431500,5223200,5941300,6658500,6989200,6920800,7246800,7416500,7661800,7188800,4707300,6010600,6537200,7385600,7324344.1,8216500,8745500,9570400,9991700,11117833,11445703,11808082,14065887,16768232,19040472,20221059,23721701,25261998,24733789,32710131.38,34477031.59,32490649.47,35246300.75,37875158.18,39811670,42884394,52125994,62622491,69934277.3,
Switzerland,CHE,3397400,3926200,4054100,4514400,4575000,4691800,5084900,5437100,5686800,5887400,5930100,6220600,6252200,6266800,6254500,6506200,6707800,7213900,7483500,8229500,8603400,7973600,8255700,9152000,9338200,9859000,10468300,12481600,14298900,16209000,17268093,16914823,13295500,10118096,9287315,9662619,10647142,12298456,14352757,14701206,22146864,24866065,26386306.6,27503416,27923164,27011762,25859918,26732570,28857994,30339654,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,574700,690600,730000,636200,505200,509700,489900,589400,552700,558900,668800,885700,822400,651900,730800,825200,875200,992400,1144100,1263800,1363600,1405900,1905800,2360000,2961700,3197200,3621900,4610000,5149800,5187700,5174876,5315623,4986727,5246787,5463753,5939020,6016649,7190963,8021939,8097314,9269026,10949863,12892856,13806283,14347893,15006762,16362437,17664974,19517185,21197759,
China,CHN,,,,,710000,1000000,1050000,1110000,1540000,2519000,2568000,3236000,3942000,3836000,5000000,7300000,10000000,12500000,17000000,11080000,16596100,19520000,27345000,31312500,37601000,47564500,51770100,52277000,53234000,55853100,61891807,72660653,83671798,86040642,119789024,136721623,158013351,183613132,191001220,229062099,266293020,292160158,318475924,352795296,390878784,436183969,487960477,551234509,611439830,659629070,
Cote d'Ivoire,CIV,108700,51000,47900,51600,56500,95000,113700,120400,132200,137300,151100,379100,382300,388500,397700,182700,184900,183400,190700,218200,200200,177700,195100,186200,156900,174700,178700,157600,162400,259600,107979,46364,,,,,,,,,516085,89791.86777,39485.4722,234996,237120,642893,667062,808471,825257,748540,
Cameroon,CMR,65800,108500,130000,211300,228200,239000,296900,346700,392700,402500,480000,485500,634000,631000,676500,718000,536100,561000,582000,403400,284200,356600,363100,274800,295000,345000,361800,279000,277900,292600,273000,324114,243122,315100,355610,384059,424794,453051,470598,466050,0,171007.2,248027.2,287208,275760,267208,343592,236000,265136,198881.213,
"Congo, Dem. Rep.",COD,305000,325900,327800,363700,464100,445000,462800,488100,569900,577700,439200,492600,377700,330700,338000,131500,168900,200800,216200,202600,206700,150400,116400,83700,177600,,,,,,,95200,,,,,,,,,210913,252408.1796,471536.2046,456000,456228,476353,416033,959738,587653.0308,550457.8926,
"Congo, Rep.",COG,55800,58600,54900,58600,63500,69000,77400,85400,102200,113300,117100,154100,158300,216900,227700,248500,248400,220100,219700,233800,238900,228900,228900,230800,231800,266900,252900,244500,240900,132200,127541,95188,46967,52268,,,,,,,341640.4292,438178.4704,703966.4211,652452,553944,657927,577780,333899,508978.9399,541787.1369,
Colombia,COL,3010200,2959700,2963600,3147300,3118000,3376100,3730000,4117300,4747100,5052400,4808200,4570100,6701500,6583900,5737400,5737300,5731300,5598500,5460000,5565100,5266700,5539900,6232100,6930200,7686500,7863300,8342100,9188900,9289700,8619200,8568734,9604390,9424850,9142585,8829094,9984424,10616356,11630594,12338706,12115330,16932435,18768534.77,22012458.84,26929238,28675159,30909723,32262658,32504898,33704037,37031843,
Comoros,COM,,,,,,,,,,,,,,,27000,32800,25900,25900,25900,26000,26000,26000,26000,26000,26000,27300,27300,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,,,,,,,53000,55000,60000,65000,75000,103100,104000,122200,127000,128200,150000,174000,176200,176700,176900,96000,100000,100000,118300,124200,129200,237000,236100,252300,263547,242799,236577,252751,560000,690000,753511,793153,807957,776469,570553,620394.7511,597982.6004,600000,590304,548908,565810,336718,561944,675482,
Costa Rica,CRI,255900,280400,307300,314400,374300,371800,390500,326800,321300,366000,431200,427600,458600,379600,322500,310000,334700,347600,400600,440800,467000,507600,622800,690300,773200,870400,917900,991500,1169500,1055300,877833,737895,675146,749885,901402,953217,943143,1017054,1023665,932581,1697893.889,1829514.947,1770111.378,1498996,1427414,1525922,1572605,1822880,1950049,2033146,
Caribbean small states,CSS,657600,818000,913500,936900,1126600,1580400,1745000,1567200,1599200,1996300,2161900,3444600,3454900,3378500,3621900,3792000,4223300,4402700,4521000,4686700,4412200,4461200,4324000,4455100,4779300,5123200,4681700,4566100,4607700,6250100,6769190,6579219,6306172,6210378,5043466,4742561,4645698,4918479,4978399,4424144,4996231,5829441.176,5920044.896,5475499.6,6162872.329,5845803,5986259,5816851,6645652.514,,
Cuba,CUB,873500,979200,988300,805500,689200,711100,716600,634800,725500,819400,675600,650700,135000,839400,839100,894400,913200,889000,963900,989800,1137500,830600,733000,624100,730900,823700,928700,1117000,1138400,1259000,1007193,882309,588700,610957,743256,812781,811559,857213,861352,780484,1578011.789,1478595.959,1313502.684,1395072,1135200,1294458,1333078,942785,563540,457712.999,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,106500,150200,201000,233100,125700,135800,225300,266300,315300,387500,440800,455000,454300,485300,563000,613400,620500,683700,696900,747700,813700,819700,946800,1011000,1233900,1218900,1214100,1278100,1346400,1336700,1396076,1503427,1704780,1882981,2013254,1920516,1944138,2071648,2111205,1943949,1583627,1263117,1285976,1211208,688368,23405,224653,711554,401408,395436,
Czech Republic,CZE,1171900,1092500,1364400,1367000,1514700,1621000,1656800,1538100,1680300,1758600,1460800,955000,852600,908400,910700,980300,991000,1069600,1153800,1168800,1095700,837400,973800,1024900,1071600,1284600,1393600,1447800,1600800,1852600,2229216,2565808,2808793,3391474,4219478,4706226,4921600,4869586,4974879,5048360,5145187,4902816,3594882,5186676,5009995,3378028,4048658,5450671,8851291,5446163.2,
Germany,DEU,6498000,7029200,7919100,7371300,8886900,9369200,10418600,10907500,11709800,12843900,13046400,12964400,12755000,13099900,14051800,14551300,15174000,17011400,17894900,19056900,22146900,24829500,27577800,29362600,32465300,34680100,40118400,45804500,49279800,54652800,57962865,56389365,61889678,72693124,82099657,90788848,99647314,106101747,107941584,103396735,97330734.28,107042775.8,105978474.5,109062321.5,112353098.6,117222850,116713587,114160685,109796202.2,109633750.7,
Djibouti,DJI,,,,,,,,,28000,29000,62500,88700,93000,110000,115000,119000,117000,124400,124900,130000,130500,130500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,1775300,2056800,2284900,2409000,2401900,2518100,2795700,2946800,3117200,3556200,3329700,3065000,3536900,3947700,3229200,3494000,3834000,4148100,4376700,4720600,4840300,4582000,4826800,5077900,5381000,5689300,5892000,6236400,5946600,5767700,5922623,6382092,6322432,5886037,6428701,,,,,,,,,,,,,,,,
Dominican Republic,DOM,128800,182700,191500,150000,160000,302100,359300,424800,429600,454600,466300,440300,413900,446700,605000,733600,614500,298700,350500,479500,718000,264200,322900,327900,300200,67400,29500,33600,33500,10400,,,,,,,,,,,19167,28232.1,28442.05,20004,16128,14463,11903,,,227504,
Algeria,DZA,563200,714800,843900,1053600,1252100,1618000,1681600,1997100,2229000,2663400,2950000,3000000,3150000,3410500,3781000,3965900,3689900,3566900,3655000,3862300,3748000,3385000,3551100,3254500,3241000,3477800,3494100,3517700,3381800,2936800,2997480,3419249,3002232,3292815,3236364,3037298,2899722,2813018,2884506,4370917,3372283,3543663,4082595,4492436.963,5021288.963,5400896,6093416,6230157,6442442,6748653,
East Asia & Pacific (excluding high income),EAP,,,,,10458800,11774800,12545500,13571100,15667800,17767700,19463300,22763000,23994200,24162000,27209100,30078100,34762200,40027200,47778100,44109000,52224800,57949100,69094200,77190600,88857400,104320600,110862300,107721300,106380600,105525000,117475001,131899488,144954360,145986148,202945818,220887277,244449016,277768225,287719256,326293542,430864598.6,482521208.8,526101395.4,579867089.8,640242859.1,708798867,790494215,881698293,964324620.1,1005359310,
